time,alloc_agric,alloc_wm,alloc_flush,alloc_flushreturn,alloc_pubwat,alloc_industry,alloc_greenhouse,alloc_wm_dw,demand_agric,demand_wm,demand_flush,demand_flushreturn,demand_pubwat,demand_industry,demand_greenhouse,demand_wmtot,demand_wm_todw
1911-01-01,,,,,,,,,,,,,,,,,
1911-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496975.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667201.8,496975.22
1911-01-21,0.0,-537.15,0.0,0.0,0.0,0.0,0.0,694002.25,0.0,-537.15,0.0,0.0,0.0,0.0,0.0,850496.56,694002.25
1911-02-01,-22049.48,0.0,0.0,0.0,0.0,0.0,0.0,1510996.8,-22049.5,0.0,0.0,0.0,0.0,0.0,0.0,1728505.4,1511007.5
1911-02-11,-28214.63,-32.82,0.0,0.0,0.0,0.0,0.0,2239011.8,-28214.64,-32.86,0.0,0.0,0.0,0.0,0.0,2449799.0,2239013.0
1911-02-21,-3233.97,0.0,0.0,0.0,0.0,0.0,0.0,788187.4,-3233.97,0.0,0.0,0.0,0.0,0.0,0.0,970354.7,788188.1
1911-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196278.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272732.2,196279.17
1911-03-11,-21061.41,-73.22,0.0,0.0,0.0,0.0,0.0,636204.75,-21061.41,-134.27,0.0,0.0,0.0,0.0,0.0,810384.1,636268.3
1911-03-21,-4744.59,-307.68,0.0,0.0,0.0,0.0,0.0,174019.61,-4744.59,-307.68,0.0,0.0,0.0,0.0,0.0,300158.4,174041.38
1911-04-01,-102408.484,-722.52,0.0,0.0,0.0,0.0,0.0,2398680.8,-102422.42,-726.54,0.0,0.0,0.0,0.0,0.0,2635460.5,2398683.8
1911-04-11,-60419.566,-4821238.5,0.0,0.0,0.0,0.0,0.0,10038369.0,-60433.69,-4821239.0,0.0,0.0,0.0,0.0,0.0,10452135.0,10039019.0
1911-04-21,-85439.79,-2614277.2,0.0,0.0,0.0,0.0,0.0,11523186.0,-85453.92,-2614277.2,0.0,0.0,0.0,0.0,0.0,11718039.0,11524106.0
1911-05-01,-107648.766,-1563353.9,0.0,0.0,0.0,0.0,0.0,7072496.0,-108248.85,-1563354.0,0.0,0.0,0.0,0.0,0.0,7366548.5,7072652.0
1911-05-11,-171353.6,-5129.72,0.0,0.0,0.0,0.0,0.0,8712914.0,-176736.56,-5141.92,0.0,0.0,0.0,0.0,0.0,8908328.0,8712929.0
1911-05-21,-371356.25,-20.15,0.0,0.0,0.0,0.0,0.0,9581226.0,-380453.34,-20.49,0.0,0.0,0.0,0.0,0.0,9757995.0,9581231.0
1911-06-01,-804757.2,-26.67,0.0,0.0,0.0,0.0,0.0,14104451.0,-820609.94,-27.09,0.0,0.0,0.0,0.0,0.0,14224864.0,14104452.0
